product,link,store,CVS,rating,review
一本有機 石榴紅康普茶,https://www.ptt.cc/bbs/CVS/M.1715662919.A.5AD.html,全家,全家,75,"一開罐喝起來有種紅酒+氣泡的錯覺
明明成份沒有酒精，有點特別？！
主要是玻璃瓶看起來挺有質感的
全家優惠券剛好領到買一送一，買來嚐鮮還可以"
灰潮香草x炭焙烏龍霜淇淋 $49,https://www.ptt.cc/bbs/CVS/M.1715691726.A.820.html,全家,全家,70,"#全家 #灰潮香草x炭焙烏龍霜淇淋
烏龍吃起來比較清爽 香草則是太甜了
店員擠得好大支 五圈半
此款比較濕潤 故融化比較快
一拿到霜淇淋 下面就滴下來了.."
醬燒炙烤親子丼 $95,https://www.ptt.cc/bbs/CVS/M.1715700075.A.C43.html,全家便利商店,全家,79,"今天中午 來到全家 看到親子丼
咦? 怎麼改名字的感覺，去翻以前紀錄
阿~多""醬燒""二字，而且外觀也改了
那就來吃吃看吧~也沒漲價XD
微波完成~~
咦? 怎麼縮起來了 封膜跟食物貼上去了...
不是有透氣孔嗎?  真怪??
但看到有些人說這次改版，封膜變很難撕開
但我覺得變滿好撕的
而且倒上層的料 變得不會沾手 這點我很喜歡!!!
雞肉變得比以前黑一點，應該是名字的醬燒字眼(?)
蛋，變成跟7-11有點類似，但又好像不是滑蛋的感覺
不是我以前喜歡的那種蛋片的感覺(我不知道是不是這樣講XD)
整體被我扣分的地方在蛋這裡(之前是86分)
最後一樣來個 八大營養表
跟之前比，熱量少了近 150大卡 耶
但鈉含量一樣很高，可能是醬燒的關係吧"
韓式地瓜QQ麵包/42元（限定店才有賣）,https://www.ptt.cc/bbs/CVS/M.1715737911.A.934.html,全家,全家,75,"早上去全家晃晃，在保溫櫃看到這紫色一條
不就是前幾年很夯的地瓜麵包嗎？
全家最近真的在走回憶殺路線嗎XD
剛好這個有搭早餐優惠就拿了一條
它長這樣，目測12-13公分
外皮硬硬的，撥開內餡軟軟的（越形容越怪）
內餡是包地瓜泥ㄝ
外皮酥酥+鬆軟的地瓜泥內餡，口感不錯
甜度部分，尚可，如果按油土伯的形容
甜度大概落在5-6分左右XD
但～～～我不會想當早餐來吃
下午茶我就很OK
店員說，要有這樣的保溫櫃的店才有
想買的朋友，先喵一下有沒有保溫櫃再進去找"
藍莓雙餡起司塔45元,https://www.ptt.cc/bbs/CVS/M.1715739911.A.286.html,全家,全家,80,"突然看到全家app兩個藍莓雙餡起司塔有特價
酸酸甜甜的也吃得到果粒，我個人滿喜歡的。
大家吃過了嗎？"
檸檬牛排醬鐵板漢堡排飯/99元,https://www.ptt.cc/bbs/CVS/M.1715747901.A.C4F.html,全家,全家,90,"中午到全家覓食
看到這款新品
今年日式漢堡排店很熱門
每間大排長龍根本吃不到
全家真的是有跟流行喔
漢堡排蠻厚的很不錯
醬汁仔細感受確實有檸檬味
但感覺還可以更酸XD
因為帶回家吃
還可以煎一顆蛋加菜
蛋黃不能熟才是精髓
蛋加上醬汁、麵還有肉
整個鐵板麵味道都出來了哈哈
而且日本真的愛這種有飯又有麵的組合
超飽的～"
法蘭西亭 檸檬牛排醬鐵板漢堡排飯/99,https://www.ptt.cc/bbs/CVS/M.1715754277.A.4D4.html,全家,全家,80,"怎麼說呢?
飛機餐，就是在家裡可以吃到飛機餐的感覺。
份量不多，輕食風味，適合小胃口的或是女性消費者。
檸檬牛排醬味道有點微妙，但醬給的量不多，吃起來偏乾，
沒有那種日式濃厚醬汁漢堡排會噴汁的感覺，
但漢堡排味道、口感不難吃，算是蠻厚實的，
如果家裡有個日式豬排醬或是番茄醬加下去，一定會更好吃。
給的飯跟麵配肉剛好，不會太多，就是兩片剛好吃完的配置。
習慣大份量的肯定吃不飽。
上面的鐵板麵就簡單的番茄口味，有點失望。
搭配的蘑菇碎聊勝於無。
如果這個上面鋪個鋁箔加熱再打開，
那你一定以為是哪一家飛航的飛機餐了。
整體來說99價格偏貴，但新品嘗鮮加上萬物齊漲，還可以接受，
打七折的話，那80還可加個五分。"
兩班家 韓式辣醬熱狗 38元,https://www.ptt.cc/bbs/CVS/M.1715756472.A.C95.html,全家,全家,92,"上次買到青花椒熱狗
 覺得出乎意料多汁超好吃 我能給99
這次看到新品
一樣超多汁！ 好吃有彈性
一不小心就吃完了
吃下去有種一般熱狗加了一點韓式泡菜的感覺
我對多汁的熱狗特別沒有抗拒能力 超愛
另外完全不辣 會怕辣的人放心可以嘗試！
缺點:
1.吃完後少了點青花椒帶給我的餘味
2.標價錯誤：
卡牌標價35元, 結帳價格38元
我看插卡張貼日期是對的啦
覺得有點莫名  不過沒差那3塊
當下有跟店員還有客服告知了"
香橙果纖風味氣泡咖啡/2杯$99(原價$85),https://www.ptt.cc/bbs/CVS/M.1715759865.A.830.html,7-11,7-11,86,"大概把711所有水果系列咖啡都喝過了吧
西西里系列、桂花蘋果系列、精品冰磚系列、鳳梨拿鐵…等等等
這次香橙氣泡咖啡有超出我預期
果汁加美式滿清新，氣泡讓整杯又更順
適合上班前深吸一大口，打飽氣去應付8小時:)
柳橙味和咖啡味一起出現
喝甜甜的心情好 上好班
他跟711之前的西西里風檸檬氣泡咖啡相比
甜度：西西里＞香橙
咖啡回甘度：香橙=西西里
西西里的味道給人一種衝出來的感覺，香橙比較peace
我自己愛香橙多一點"
海鹽蜂蜜牛奶霜淇淋/49元,https://www.ptt.cc/bbs/CVS/M.1715772175.A.848.html,7-11,7-11,90,"不甜+海鹽+蜂蜜，充斥著我喜歡的要素，
蜂蜜牛奶味的霜淇淋慢慢帶出海鹽的香氣，
也沒有化工味，至少吃完不會口渴，
真的跟上一次的「不知火橘」不相上下！
不過「不知火橘」還是小勝一點點！"
馬尚煮/全項買2送2,https://www.ptt.cc/bbs/CVS/M.1715828090.A.A42.html,全家,全家,80,"蠻愛吃全家的馬尚煮, 但辣度對我來說有點太過
看之前版友分享的麻奶鍋
自己DIY加了牛奶試
我是湯底跟牛奶各半再拿去微波加熱
加進牛奶後, 湯底喝起來溫和不少
多了點奶的甜味, 也比較沒這麼辣
料的部分個人偏愛魚板類
最推愛心形狀裡面有起司這個
另外蘿蔔和香菇這種會吸湯的也很推"
灰潮香草霜淇淋/49元,https://www.ptt.cc/bbs/CVS/M.1715828199.A.7A8.html,全家,全家,80,"香草味還蠻重的
平常就蠻愛吃香草口味的冰淇淋
覺得跟一般吃到的甜度差不多
這口味特別的還是顏色
看有人又說水泥又是蟹膏的XD
整體來說還蠻好吃的, 有機會想再試試看配烏龍的"
香烤雞胸鮮蔬餐/89,https://www.ptt.cc/bbs/CVS/M.1715836749.A.A7A.html,711,7-11,80,"肉賣相不好，但意外的還不錯吃，口感偏嫩且也沒什麼腥味
紅蘿蔔有加了很像番茄醬汁的東西調味，有把蘿蔔的味道特有的味道蓋掉
如果本身就不喜歡蘿蔔味道的人可以嘗試看看，還不錯
比較可惜的部分是醬汁給的有點少，沒辦法浸泡到所有的配菜
多一點的話我對他的評價會再更高一些
然後是份量問題，不知道是不是我的錯覺
總覺得不管是全家還是小七的健康餐份量都有縮水的跡象
健康是健康，但是吃不飽啊QQ"
日安紅羅馬雙餡包/48x0.7,https://www.ptt.cc/bbs/CVS/M.1715836756.A.D95.html,全家,全家,82,"圖多多版本:
影片版:
全家便利商店 又和 再睡五分鐘合作囉
這次推出的是 兩款冷藏甜點
日安紅羅馬雙餡包 有著超高塑膠殼保護
羅馬包 就想到之前7-11推出的版本
全家也跟上
奶油部分有塑膠膜保護不沾手
先來說麵包本體
外皮是稍微韌性的口感 內裡是柔軟
餡料滿滿 吃得出茶味的奶油
雖然份量多但是不膩口 跟麵包搭配起來很剛剛好
差點忘了 標題是雙餡啊
藏在後面 最裡面還有巧克力奶油餡
兩種內餡都不會太甜"
海鹽焦糖牛奶司康/35元,https://www.ptt.cc/bbs/CVS/M.1715845640.A.9BA.html,全家,全家,60,"早上買早餐時看到這個想說試看看
名字聽起來很好吃
但是，裡面竟然有葡萄乾，最討厭的葡萄乾QQ
從外表完全看不出有葡萄乾，尼們看看這個圖
眼瞎如我，還以為那個黑黑咖啡咖啡的是焦糖？
總之裡面很多葡萄乾，我滿難過的
撇除葡萄乾，其實口味還不錯，鹹鹹甜甜算好吃，也不會太乾
喜歡葡萄乾（誰？）的人可以吃～～"
松露乾酪鹽可頌42元/一本有機康普茶（石榴紅）,https://www.ptt.cc/bbs/CVS/M.1715854957.A.A34.html,全家,全家,80,"今天突然想吃早餐 身為松露愛好者就毫不猶豫買了
原本以為只有麵包本身有松露味 昨天看到網友分享才知道有松露醬
吃了超過一半都還有醬 跟乾酪搭在一起口味還不錯
最後一口還有乾酪
吃完許久都還有淡淡松露香味
整體口味簡單沒有太濃郁 早餐吃蠻剛好的
有用app領買一送一券就順便買這瓶
忘記在哪看到有人說石榴這款像紅酒 所以我自己留著，雙柚口味給同事喝
沒有期待的紅酒味 勉強可以說像無酒精氣泡酒
之前有喝過幾款康普茶
覺得這款喝起來有比較順口
因為本身沒有很愛醱酵味 這瓶對我來說很剛好"
台啤乖乖奶油椰子啤酒+杯子  288元（印象中杯子是+49）,https://www.ptt.cc/bbs/CVS/M.1715858677.A.D07.html,全家,全家,90,"聞起來有乖乖的甜味
喝起來甜甜的
是乖乖奶油椰子的味道
啤酒味不明顯
吞下去後才有淡淡啤酒味
整體喝起來很清爽
天氣熱喝正好
---"
